Date,IGE,EWA,EWC
1/31/2008,33.597378,26.879999,30.280001
2/1/2008,34.194958,28.43,30.92
2/4/2008,34.26965,27.77,30.4
2/5/2008,33.005333,26.459999,29.76
2/6/2008,32.391136,26.27,29.84
2/7/2008,32.83934,26.25,29.559999
2/8/2008,33.442455,26.23,30.040001
2/11/2008,34.261353,26.379999,30.35
2/12/2008,34.026207,26.74,30.290001
2/13/2008,34.919792,26.26,30.83
2/14/2008,34.78701,26.33,30.58
2/15/2008,34.654213,26.73,30.379999
2/19/2008,35.622513,26.84,30.57
2/20/2008,36.142632,26.52,31.030001
2/21/2008,35.456516,26.450001,31.01
2/22/2008,35.926846,26.83,31.17
2/25/2008,36.734692,27.68,31.950001
2/26/2008,37.384827,27.950001,32.529999
2/27/2008,37.163513,28.219999,32.529999
2/28/2008,37.855137,27.809999,32.950001
2/29/2008,36.704243,26.540001,32.009998
3/3/2008,37.072208,26.82,31.77
3/4/2008,36.485687,26.08,31.4
3/5/2008,37.395893,26.6,32.009998
3/6/2008,36.593582,25.809999,31.370001
3/7/2008,35.912998,25.219999,31.030001
3/10/2008,35.240734,24.73,30.25
3/11/2008,36.637852,25.76,31.129999
3/12/2008,36.1703,25.639999,31.139999
3/13/2008,36.895149,25.870001,31.639999
3/14/2008,36.408222,25.280001,31.219999
3/17/2008,35.0443,24.709999,30.129999
3/18/2008,36.098354,25.360001,30.690001
3/19/2008,33.921066,24.91,29.02
3/20/2008,33.821476,24.84,29.02
3/24/2008,34.291794,25.52,29.700001
3/25/2008,34.892128,25.52,30.440001
3/26/2008,35.628059,26.030001,30.5
3/27/2008,35.395653,25.85,30.5
3/28/2008,35.282215,25.780001,30.26
3/31/2008,35.334789,25.76,30.309999
4/1/2008,35.794044,26.389999,30.68
4/2/2008,36.36673,26.700001,31.1
4/3/2008,36.521656,27.26,31.51
4/4/2008,37.016872,27.59,31.620001
4/7/2008,37.097115,27.67,31.629999
4/8/2008,37.337799,27.68,31.68
4/9/2008,37.525917,27.01,31.58
4/10/2008,37.6283,26.940001,31.91
4/11/2008,37.033474,26.5,31.24
4/14/2008,37.625515,26.27,31.48
4/15/2008,38.065407,26.799999,31.77
4/16/2008,39.296535,27.889999,32.98
4/17/2008,39.202477,27.379999,32.740002
4/18/2008,39.91901,27.370001,33.150002
4/21/2008,40.259312,28.18,33.41
4/22/2008,40.151409,27.860001,33.43
4/23/2008,39.600861,28.389999,32.509998
4/24/2008,38.662994,27.93,32.330002
4/25/2008,39.324192,27.93,32.650002
4/28/2008,39.221851,27.77,32.630001
4/29/2008,38.306118,27.459999,31.99
4/30/2008,38.582756,27.780001,32.459999
5/1/2008,37.94368,27.959999,32.360001
5/2/2008,38.599354,28.43,32.91
5/5/2008,39.221851,28.610001,33.040001
5/6/2008,40.239941,28.84,33.75
5/7/2008,39.849861,27.860001,33.490002
5/8/2008,40.748993,28.620001,33.75
5/9/2008,40.583,28.790001,33.93
5/12/2008,40.621719,29.52,34.450001
5/13/2008,41.100342,29.26,34.27
5/14/2008,40.638325,29.43,34.259998
5/15/2008,41.399147,29.879999,34.869999
5/16/2008,42.588776,30.32,35.32
5/19/2008,42.98439,30.190001,35.389999
5/20/2008,43.565376,29.75,35.75
5/21/2008,42.93182,29.469999,35.34
5/22/2008,42.483639,29.639999,35.41
5/23/2008,41.852879,29.129999,35.130001
5/27/2008,41.371479,29.27,34.439999
5/28/2008,42.065891,29.129999,34.970001
5/29/2008,41.092049,29.01,34.68
5/30/2008,41.531937,29.27,35.009998
6/2/2008,41.706226,28.84,34.91
6/3/2008,41.114185,28.18,34.400002
6/4/2008,40.480629,28.07,34.150002
6/5/2008,42.212509,28.6,34.889999
6/6/2008,41.891594,28.02,34.66
6/9/2008,42.724346,27.700001,34.619999
6/10/2008,41.598335,27.32,33.959999
6/11/2008,41.930328,27.08,34.220001
6/12/2008,41.177818,26.65,33.720001
6/13/2008,41.507038,27.09,33.970001
6/16/2008,41.794781,26.860001,34.529999
6/17/2008,42.558331,27.33,35.009998
6/18/2008,42.751991,27.25,34.98
6/19/2008,41.761566,27.389999,34.389999
6/20/2008,41.412968,26.629999,33.810001
6/23/2008,42.793636,26.73,34.060001
6/24/2008,41.988659,26.75,33.599998
6/25/2008,41.661133,26.950001,33.459999
6/26/2008,41.541775,26.540001,33.099998
6/27/2008,41.94981,26.9,33.240002
6/30/2008,42.535488,26.469999,33.16
7/1/2008,42.790844,25.98,33.240002
7/2/2008,41.15316,25.57,32.529999
7/3/2008,40.772888,25.549999,32.299999
7/7/2008,39.804153,25.32,31.82
7/8/2008,39.187931,25.469999,31.940001
7/9/2008,38.446812,25.120001,31.66
7/10/2008,39.687572,25.57,32.029999
7/11/2008,39.718121,25.26,31.870001
7/14/2008,40.198311,25.450001,32.040001
7/15/2008,38.616142,24.969999,31.16
7/16/2008,37.930527,25.620001,31.66
7/17/2008,37.0756,25.67,31.459999
7/18/2008,37.430897,25.49,31.620001
7/21/2008,38.491226,26.219999,32.130001
7/22/2008,37.400356,26.219999,31.860001
7/23/2008,35.868149,26.459999,31.52
7/24/2008,35.48233,25.879999,30.559999
7/25/2008,35.840397,25.700001,30.860001
7/28/2008,35.815418,24.76,30.540001
7/29/2008,35.39904,24.98,30.639999
7/30/2008,37.256027,25.17,31.530001
7/31/2008,36.12352,24.879999,31.35
8/1/2008,36.015259,24.190001,30.799999
8/4/2008,34.058361,23.959999,29.799999
8/5/2008,34.041706,24.17,29.9
8/6/2008,35.040981,24.370001,30.25
8/7/2008,34.458084,23.950001,29.83
8/8/2008,33.89183,23.98,29.35
8/11/2008,33.625351,23.889999,29.17
8/12/2008,33.650337,23.610001,29.09
8/13/2008,34.941071,23.34,29.549999
8/14/2008,34.42477,23.190001,29.59
8/15/2008,33.700302,23.059999,29.120001
8/18/2008,33.392189,23.030001,28.969999
8/19/2008,34.29985,22.75,28.969999
8/20/2008,35.407379,23.27,29.620001
8/21/2008,36.389996,23.280001,30.5
8/22/2008,35.682178,23.309999,30.24
8/25/2008,35.215855,22.98,29.76
8/26/2008,35.765453,23.040001,29.82
8/27/2008,36.373341,23.34,30.41
8/28/2008,36.048576,23.959999,30.74
8/29/2008,35.690506,23.82,30.379999
9/2/2008,33.783566,23.24,29.299999
9/3/2008,33.433834,22.99,29.09
9/4/2008,32.61776,21.67,28.120001
9/5/2008,32.667725,21.59,28.34
9/8/2008,32.068169,22.389999,27.98
9/9/2008,29.778168,21.07,26.700001
9/10/2008,30.869041,21.450001,27.440001
9/11/2008,31.343685,21.24,27.860001
9/12/2008,32.426231,22.26,28.41
9/15/2008,30.244495,20.66,26.959999
9/16/2008,30.902349,20.940001,27.120001
9/17/2008,30.294466,19.74,26.309999
9/18/2008,31.127184,20.74,26.969999
9/19/2008,33.50045,22.290001,29.01
9/22/2008,33.142368,22.68,29.129999
9/23/2008,32.342949,22.43,28.870001
9/24/2008,32.284672,22.700001,28.709999
9/25/2008,32.701031,23.030001,28.66
9/26/2008,31.951584,22.6,27.77
9/29/2008,28.937122,19.799999,25.799999
9/30/2008,29.953043,20.540001,26.34
10/1/2008,29.245228,20.75,26.15
10/2/2008,26.713753,19.6,24.01
10/3/2008,26.49724,19.48,23.530001
10/6/2008,25.13991,17.110001,22.33
10/7/2008,23.441145,17.02,21.040001
10/8/2008,23.599369,15.96,21.559999
10/9/2008,21.634136,15.54,19.92
10/10/2008,19.81048,14.41,18.85
10/13/2008,23.074755,17.4,21.18
10/14/2008,22.999805,16.58,20.4
10/15/2008,19.302523,14.93,18.75
10/16/2008,20.235167,15.96,18.799999
10/17/2008,20.518299,15.1,19.07
10/20/2008,22.89155,16.709999,20.290001
10/21/2008,21.60083,15.68,19.18
10/22/2008,19.377468,14.56,17.559999
10/23/2008,20.07695,14.61,17.66
10/24/2008,19.310846,13.24,17.190001
10/27/2008,17.945179,12.7,15.79
10/28/2008,20.026981,14.4,17.190001
10/29/2008,20.851379,14.35,18.129999
10/30/2008,22.217047,15.24,19.25
10/31/2008,22.316969,14.99,19.18
11/3/2008,21.684103,15.8,19.57
11/4/2008,23.516098,17.1,21.08
11/5/2008,22.36694,16.23,20.18
11/6/2008,20.893015,14.89,19.219999
11/7/2008,21.759045,15.55,19.219999
11/10/2008,21.892284,14.83,19.32
11/11/2008,20.992947,14.28,18.610001
11/12/2008,19.260885,13.35,17.07
11/13/2008,21.44261,14.52,18.360001
11/14/2008,20.401714,13.36,17.530001
11/17/2008,19.868771,12.89,17.15
11/18/2008,20.584913,12.88,17.030001
11/19/2008,19.152628,11.92,16.26
11/20/2008,16.754393,10.96,14.47
11/21/2008,18.894482,12.37,15.2
11/24/2008,20.260153,12.88,16.18
11/25/2008,20.676514,13.48,16.49
11/26/2008,22.025524,13.52,16.75
11/28/2008,21.767378,13.66,17.110001
12/1/2008,19.460733,12.5,16.34
12/2/2008,20.026981,13.05,16.030001
12/3/2008,19.943712,13.23,15.98
12/4/2008,18.52808,12.55,15.26
12/5/2008,18.727938,12.92,15.44
12/8/2008,19.9687,13.84,16.32
12/9/2008,20.060297,13.13,16.059999
12/10/2008,21.226109,13.43,16.32
12/11/2008,21.159487,13.35,16.389999
12/12/2008,20.967966,13.39,16.469999
12/15/2008,21.042912,13.38,16.5
